378,26455.02646,3.27989,0.42887,0.41533,0.2139,0.34564,0.26907,0.0261,0.21677
378.5,26420.07926,3.27556,0.42795,0.419,0.21774,0.35075,0.27176,0.02713,0.2207
379,26385.22427,3.27124,0.42708,0.42258,0.22048,0.3547,0.27193,0.02624,0.22337
379.5,26350.46113,3.26693,0.42498,0.42538,0.22415,0.35953,0.27247,0.0268,0.22649
380,26315.78947,3.26263,0.4234,0.42845,0.22705,0.36355,0.2729,0.02653,0.22974
380.5,26281.20894,3.25834,0.42077,0.43139,0.22965,0.36734,0.2737,0.02702,0.23293
381,26246.71916,3.25407,0.41935,0.43409,0.23335,0.37224,0.27372,0.02753,0.23625
381.5,26212.31979,3.2498,0.41693,0.43749,0.23573,0.37576,0.27466,0.02743,0.23958
382,26178.01047,3.24555,0.4145,0.43929,0.23895,0.37871,0.27436,0.02757,0.24246
382.5,26143.79085,3.24131,0.41257,0.44226,0.24137,0.38277,0.27456,0.02738,0.24497
383,26109.66057,3.23708,0.41017,0.44486,0.24464,0.38665,0.27473,0.02743,0.24781
383.5,26075.6193,3.23286,0.40679,0.44645,0.24702,0.38931,0.27386,0.02691,0.25061
384,26041.66667,3.22865,0.40436,0.44973,0.25024,0.39363,0.27473,0.02737,0.25459
384.5,26007.80234,3.22445,0.40152,0.45124,0.25305,0.3977,0.27385,0.027,0.25707
385,25974.02597,3.22026,0.39838,0.45383,0.25628,0.40017,0.27361,0.02699,0.2594
385.5,25940.33722,3.21608,0.39526,0.45586,0.25857,0.40373,0.27313,0.02749,0.26277
386,25906.73575,3.21192,0.38978,0.45691,0.26042,0.4068,0.27181,0.02667,0.26533
386.5,25873.22122,3.20776,0.38812,0.45918,0.26428,0.41047,0.27191,0.02725,0.26862
387,25839.79328,3.20362,0.38448,0.46053,0.26649,0.41264,0.27125,0.02721,0.27073
387.5,25806.45161,3.19948,0.38003,0.46097,0.2689,0.41605,0.26993,0.02666,0.27366
388,25773.19588,3.19536,0.37628,0.46172,0.27165,0.41838,0.269,0.02655,0.27614
388.5,25740.02574,3.19125,0.37291,0.4637,0.274,0.42193,0.26799,0.02678,0.27914
389,25706.94087,3.18715,0.36789,0.46455,0.27626,0.42371,0.2669,0.02643,0.28108
389.5,25673.94095,3.18306,0.3644,0.4651,0.27854,0.4263,0.26572,0.02667,0.28307
390,25641.02564,3.17897,0.35994,0.46665,0.28122,0.42979,0.26411,0.02617,0.28594
390.5,25608.19462,3.1749,0.35588,0.46613,0.28375,0.43169,0.2624,0.02604,0.28805
391,25575.44757,3.17084,0.35208,0.46705,0.28535,0.4339,0.26127,0.02615,0.28975
391.5,25542.78416,3.16679,0.34709,0.46697,0.28734,0.43593,0.25922,0.02583,0.29302
392,25510.20408,3.16276,0.34288,0.46728,0.2893,0.43718,0.25746,0.02552,0.29427
392.5,25477.70701,3.15873,0.33844,0.46702,0.29092,0.43923,0.25545,0.02567,0.29666
393,25445.29262,3.15471,0.3328,0.46675,0.29287,0.441,0.25304,0.02452,0.29873
393.5,25412.96061,3.1507,0.32845,0.46629,0.29481,0.44277,0.2513,0.02482,0.30063
394,25380.71066,3.1467,0.32407,0.46632,0.29671,0.44467,0.24884,0.0252,0.3025
394.5,25348.54246,3.14271,0.31897,0.46452,0.29829,0.44561,0.24653,0.02411,0.30404
395,25316.4557,3.13873,0.31404,0.46466,0.30027,0.44745,0.24455,0.02475,0.30633
395.5,25284.45006,3.13477,0.30906,0.46291,0.30178,0.44799,0.24209,0.02375,0.30781
396,25252.52525,3.13081,0.30265,0.46159,0.30255,0.44836,0.23842,0.0229,0.30914
396.5,25220.68096,3.12686,0.29851,0.46099,0.30456,0.44976,0.23684,0.02339,0.31098
397,25188.91688,3.12292,0.29368,0.45944,0.30605,0.45134,0.23401,0.02279,0.31198
397.5,25157.2327,3.11899,0.28722,0.45743,0.30712,0.45043,0.23071,0.02163,0.31313
398,25125.62814,3.11508,0.28227,0.45634,0.30798,0.45215,0.228,0.02187,0.31538
398.5,25094.10289,3.11117,0.2776,0.4549,0.30948,0.45217,0.22516,0.0218,0.31598
399,25062.65664,3.10727,0.27198,0.4522,0.31073,0.45272,0.22252,0.02189,0.31704
399.5,25031.28911,3.10338,0.26743,0.45002,0.31065,0.45197,0.21881,0.02111,0.3187
400,25000,3.0995,0.26189,0.44804,0.31144,0.45204,0.2164,0.02112,0.31889
400.5,24968.78901,3.09563,0.25684,0.44533,0.31303,0.45254,0.21311,0.02017,0.32005
401,24937.65586,3.09177,0.25168,0.44318,0.3134,0.45212,0.20972,0.02018,0.32039
