[nm];[A];norm A
;Probe 1;
523,5;0,5372;0,403818688
524;0,541;0,406675186
524,5;0,5447;0,409456514
525;0,5485;0,412313012
525,5;0,5523;0,415169511
526;0,5562;0,41810118
526,5;0,5601;0,42103285
527;0,5641;0,42403969
527,5;0,5681;0,427046531
528;0,5721;0,430053371
528,5;0,5761;0,433060212
529;0,5802;0,436142224
529,5;0,5842;0,439149064
530;0,5884;0,442306247
530,5;0,5925;0,445388258
531;0,5966;0,44847027
531,5;0,6008;0,451627452
532;0,605;0,454784635
532,5;0,6092;0,457941818
533;0,6135;0,461174171
533,5;0,6178;0,464406525
534;0,6222;0,467714049
534,5;0,6266;0,471021574
535;0,631;0,474329099
535,5;0,6355;0,477711794
536;0,64;0,48109449
536,5;0,6445;0,484477186
537;0,6491;0,487935052
537,5;0,6537;0,491392919
538;0,6583;0,494850786
538,5;0,663;0,498383823
539;0,6677;0,501916861
539,5;0,6725;0,50552507
540;0,6773;0,509133278
540,5;0,6821;0,512741487
541;0,687;0,516424867
541,5;0,6918;0,520033075
542;0,6969;0,523866797
542,5;0,7018;0,527550177
543;0,7068;0,531308727
543,5;0,7118;0,535067278
544;0,7169;0,538901
544,5;0,7219;0,54265955
545;0,727;0,546493272
545,5;0,7321;0,550326994
546;0,7373;0,554235887
546,5;0,7425;0,558144779
547;0,7478;0,562128843
547,5;0,753;0,566037736
548;0,7584;0,570096971
548,5;0,7637;0,574081034
549;0,7691;0,578140269
549,5;0,7745;0,582199504
550;0,7799;0,586258739
550,5;0,7854;0,590393144
551;0,7909;0,59452755
551,5;0,7964;0,598661956
552;0,8019;0,602796362
552,5;0,8075;0,607005939
553;0,8131;0,611215515
553,5;0,8186;0,615349921
554;0,8242;0,619559498
554,5;0,8298;0,623769075
555;0,8355;0,628053822
555,5;0,8412;0,63233857
556;0,8469;0,636623318
556,5;0,8525;0,640832895
557;0,8582;0,645117643
557,5;0,8639;0,64940239
558;0,8695;0,653611967
558,5;0,8751;0,657821544
559;0,8808;0,662106292
559,5;0,8865;0,66639104
560;0,8921;0,670600616
560,5;0,8977;0,674810193
561;0,9034;0,679094941
561,5;0,9091;0,683379689
562;0,9148;0,687664437
562,5;0,9205;0,691949184
563;0,9262;0,696233932
563,5;0,9319;0,70051868
564;0,9376;0,704803428
564,5;0,9433;0,709088176
565;0,949;0,713372923
565,5;0,9546;0,7175825
566;0,9601;0,721716906
566,5;0,9658;0,726001654
567;0,9713;0,73013606
567,5;0,9769;0,734345636
568;0,9825;0,738555213
568,5;0,9879;0,742614448
569;0,9934;0,746748854
569,5;0,9989;0,750883259
570;1,0043;0,754942494
570,5;1,0097;0,759001729
571;1,0151;0,763060964
571,5;1,0204;0,767045027
572;1,0256;0,77095392
572,5;1,0309;0,774937984
573;1,0361;0,778846877
573,5;1,0411;0,782605427
574;1,0462;0,786439149
574,5;1,0513;0,790272871
575;1,0564;0,794106592
575,5;1,0615;0,797940314
576;1,0665;0,801698865
576,5;1,0714;0,805382245
577;1,0763;0,809065624
577,5;1,0812;0,812749004
578;1,086;0,816357213
578,5;1,0908;0,819965421
579;1,0955;0,823498459
579,5;1,1001;0,826956326
580;1,1047;0,830414192
580,5;1,1093;0,833872059
581;1,1138;0,837254755
581,5;1,1183;0,84063745
582;1,1227;0,843944975
582,5;1,1272;0,84732767
583;1,1314;0,850484853
583,5;1,1358;0,853792378
584;1,1399;0,856874389
584,5;1,1442;0,860106743
585;1,1484;0,863263925
585,5;1,1523;0,866195595
586;1,1562;0,869127265
586,5;1,1602;0,872134105
587;1,1639;0,874915433
587,5;1,1676;0,87769676
588;1,1715;0,88062843
588,5;1,175;0,883259415
589;1,1787;0,886040743
589,5;1,1823;0,888746899
590;1,1859;0,891453056
590,5;1,1893;0,89400887
591;1,1928;0,896639856
591,5;1,1962;0,89919567
592;1,1995;0,901676314
592,5;1,2028;0,904156957
593;1,2059;0,906487259
593,5;1,2093;0,909043073
594;1,2122;0,911223032
594,5;1,2153;0,913553334
595;1,2182;0,915733293
595,5;1,2211;0,917913253
596;1,224;0,920093212
596,5;1,2269;0,922273171
