Multi Scans

Labels,Em25,Em-190,Em-78,Em100,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,420.00,420.00,420.00,420.00,
Stop,700.00,700.00,700.00,700.00,
Step,1.00,1.00,1.00,1.00,
Fixed/Offset,395.00,395.00,395.00,395.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,0.7499790,0.7499790,0.7499790,0.7499790,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,0.99998826,0.99998826,0.99998826,0.99998826,
Detector,PMT980,PMT980,PMT980,PMT980,

497.00,3.52290469E+5,4.22448063E+5,4.70996750E+5,8.50448516E+4,
498.00,3.63778281E+5,4.49471125E+5,4.92397438E+5,8.82992266E+4,
499.00,3.69042656E+5,4.80663531E+5,5.14037000E+5,8.88344609E+4,
500.00,3.81454938E+5,5.08766031E+5,5.35235875E+5,9.41214453E+4,
501.00,3.92136500E+5,5.36743688E+5,5.54030188E+5,9.73546641E+4,
502.00,3.98585938E+5,5.67486875E+5,5.71462313E+5,9.85662656E+4,
503.00,4.10194625E+5,5.99448250E+5,5.94103000E+5,1.01137609E+5,
504.00,4.20330281E+5,6.20135750E+5,6.10428375E+5,1.03926008E+5,
505.00,4.27549875E+5,6.53896375E+5,6.30786938E+5,1.07970797E+5,
506.00,4.37131875E+5,6.77618438E+5,6.47046750E+5,1.10017313E+5,
507.00,4.42469563E+5,7.10281250E+5,6.66550125E+5,1.10362219E+5,
508.00,4.50902469E+5,7.28623500E+5,6.79654063E+5,1.12283875E+5,
509.00,4.51095969E+5,7.55052500E+5,6.95381250E+5,1.15248805E+5,
510.00,4.61138625E+5,7.75147063E+5,7.12899438E+5,1.18178336E+5,
511.00,4.68775844E+5,8.05284188E+5,7.28824563E+5,1.18002500E+5,
512.00,4.72792875E+5,8.20020375E+5,7.39962125E+5,1.21091852E+5,
513.00,4.81441969E+5,8.42719563E+5,7.52363125E+5,1.21881125E+5,
514.00,4.81954906E+5,8.59323563E+5,7.65512938E+5,1.24243203E+5,
515.00,4.86603000E+5,8.77522750E+5,7.75319188E+5,1.25714313E+5,
516.00,4.91371719E+5,8.88931625E+5,7.82013625E+5,1.28272367E+5,
517.00,4.91484813E+5,9.05179063E+5,7.93843375E+5,1.29690305E+5,
518.00,4.97672813E+5,9.24062625E+5,7.98973625E+5,1.27453102E+5,
519.00,4.96475375E+5,9.33512063E+5,7.98792313E+5,1.30688055E+5,
520.00,5.06336125E+5,9.39150438E+5,8.09361750E+5,1.30942680E+5,
521.00,5.00731281E+5,9.43988375E+5,8.14805500E+5,1.33068734E+5,
522.00,5.07875563E+5,9.59154875E+5,8.15797250E+5,1.33058953E+5,
523.00,5.00939094E+5,9.58945500E+5,8.18588250E+5,1.31450516E+5,
524.00,4.98670750E+5,9.54509625E+5,8.18197250E+5,1.33591750E+5,
525.00,5.00617094E+5,9.67234500E+5,8.10057063E+5,1.35836969E+5,
526.00,4.99117406E+5,9.66909500E+5,8.18378938E+5,1.36554859E+5,
527.00,5.00112313E+5,9.67358625E+5,8.18035500E+5,1.36529922E+5,
528.00,4.94529000E+5,9.63516875E+5,8.12011688E+5,1.35216078E+5,
529.00,4.97325688E+5,9.65537250E+5,8.10622188E+5,1.35286703E+5,
530.00,4.94972906E+5,9.53698313E+5,8.09221813E+5,1.36212328E+5,
531.00,4.91895813E+5,9.53600938E+5,8.01400438E+5,1.37540344E+5,
532.00,4.84951938E+5,9.38357000E+5,8.01524063E+5,1.36668531E+5,
533.00,4.85134844E+5,9.31541875E+5,7.98491813E+5,1.34681016E+5,
534.00,4.81791844E+5,9.34086313E+5,7.84645500E+5,1.36739422E+5,
535.00,4.77183688E+5,9.24472500E+5,7.81718250E+5,1.36050328E+5,
536.00,4.66375906E+5,9.09938813E+5,7.66904500E+5,1.34366156E+5,
537.00,4.69844000E+5,8.93357875E+5,7.62578938E+5,1.32371219E+5,
538.00,4.62755094E+5,8.86104438E+5,7.52404375E+5,1.34661609E+5,
539.00,4.60473844E+5,8.79145813E+5,7.50435750E+5,1.33459250E+5,
540.00,4.54590063E+5,8.69936375E+5,7.34667188E+5,1.32225672E+5,
541.00,4.45518938E+5,8.56165625E+5,7.23403188E+5,1.31205563E+5,
542.00,4.38448188E+5,8.44132313E+5,7.17389188E+5,1.30069531E+5,
543.00,4.35036719E+5,8.25853625E+5,7.08262500E+5,1.29009266E+5,
544.00,4.33335281E+5,8.10365688E+5,6.95810500E+5,1.29864953E+5,
545.00,4.22738469E+5,8.00260438E+5,6.81320313E+5,1.27702539E+5,
546.00,4.23109219E+5,7.85730250E+5,6.72042625E+5,1.25048367E+5,
547.00,4.09595875E+5,7.65003500E+5,6.64245875E+5,1.22143242E+5,
548.00,4.03678844E+5,7.51519563E+5,6.51274250E+5,1.22603875E+5,
549.00,3.98850813E+5,7.35226188E+5,6.42568813E+5,1.22481516E+5,
550.00,3.97078250E+5,7.20007438E+5,6.27949313E+5,1.17851836E+5,
551.00,3.92235188E+5,7.06305813E+5,6.17100188E+5,1.18486906E+5,
552.00,3.81328563E+5,6.84446688E+5,6.04786688E+5,1.17981313E+5,
553.00,3.74693813E+5,6.76292250E+5,5.91814250E+5,1.15376906E+5,
554.00,3.67451500E+5,6.61087625E+5,5.74369375E+5,1.15178805E+5,
555.00,3.60999031E+5,6.39440500E+5,5.64740500E+5,1.13148414E+5,
556.00,3.56536031E+5,6.29524063E+5,5.59760938E+5,1.10620906E+5,
557.00,3.50239188E+5,6.16159813E+5,5.36251938E+5,1.11472695E+5,
558.00,3.37884625E+5,5.97468625E+5,5.36128875E+5,1.07037500E+5,
559.00,3.36607063E+5,5.78323938E+5,5.24734938E+5,1.06518578E+5,
560.00,3.29684250E+5,5.65020000E+5,5.11471875E+5,1.07927227E+5,
561.00,3.25086625E+5,5.51671625E+5,4.89611156E+5,1.03264406E+5,
562.00,3.12689438E+5,5.34914438E+5,4.86256906E+5,1.03004227E+5,
563.00,3.07971063E+5,5.21180813E+5,4.71536469E+5,9.92260156E+4,
564.00,2.98824250E+5,5.07585156E+5,4.60139000E+5,1.01433570E+5,
565.00,2.95402406E+5,4.92140000E+5,4.51332500E+5,9.78417734E+4,
566.00,2.85014094E+5,4.74007938E+5,4.41639938E+5,9.60897031E+4,
567.00,2.86810719E+5,4.62283344E+5,4.28839906E+5,9.57208516E+4,
568.00,2.74492094E+5,4.48325500E+5,4.16888250E+5,9.37257969E+4,
569.00,2.71838906E+5,4.35156625E+5,4.07037375E+5,9.17499844E+4,
570.00,2.60897922E+5,4.20554813E+5,3.98157438E+5,9.11378828E+4,
571.00,2.59210547E+5,4.11209063E+5,3.82592250E+5,8.70131953E+4,
572.00,2.50410250E+5,3.95429969E+5,3.73466313E+5,8.51960703E+4,
573.00,2.46355391E+5,3.84255406E+5,3.67085438E+5,8.55656719E+4,
574.00,2.38895859E+5,3.71939750E+5,3.59774531E+5,8.16381797E+4,
